N,PDBCode,Antibody Type,Chain Spike,HL,RBD,Resolution,Method,Closed clash,Open clash,Triple open clash,Triple open clash 7cak,Kd (nM)
1,7bz5,B-38,A,HL,X,"1,84",X-ray,1449,0,0,24,70.1
2,7kmg,LY-CoV555,C,AB,X,"2,16",X-ray,0,0,0,42,3.5
3,7chb,BD-236,R,HL,X,"2,40",X-ray,1469,0,0,34,-
4,7chc_1,BD-629,R,HL,X,"2,71",X-ray,1473,0,0,71,0.78
5,7chc_2,BD-368-2,R,AB,X,"2,71",X-ray,0,0,0,9,0.54
6,7ch4,BD-604,R,HL,X,"3,15",X-ray,1437,0,0,51,0.18
7,7k8m,C-102,E,AB,X,"3,20",X-ray,1462,0,0,36,27
8,7kfw,C1A-B3,A,HL,X,"2,79",X-ray,1205,0,0,49,76.3
9,7kfx,C1A-C2,A,HL,X,"2,23",X-ray,1310,0,0,38,14.1
10,7c01,CB6,A,HL,X,"2,88",X-ray,1595,0,0,39,2.49
11,6xc2,CC12.1,A,HL,X,"3,11",X-ray,1291,4,4,72,17
12,6xc4,CC12.3,A,HL,X,"2,34",X-ray,1393,0,0,53,14
13,7jmo,COV2-04,A,HL,X,"2,36",X-ray,1356,0,0,41,40
14,7jmp,COV2-39,A,HL,X,"1,71",X-ray,34,0,0,57,21
15,6w41,CR3022,C,HL,X,"3,08",X-ray,4270,3255,1878,647,115
16,6xkq,CV07-250,A,HL,X,"2,55",X-ray,152,0,0,12,0.05
17,6xkp,CV07-270,A,HL,X,"2,72",X-ray,19,0,0,37,-
18,6xe1,CV30,E,HL,X,"2,75",X-ray,1478,0,0,18,3.6
19,7k9z_1,52,E,HL,X,"2,95",X-ray,918,5,16,160,12
20,7k9z_2,298,E,AB,X,"2,95",X-ray,307,0,0,0,24
21,7l5b,2-15,A,HL,X,"3,18",X-ray,22,1,1,42,0.03
22,7klg,15033,A,HL,X,"3,20",X-ray,1596,0,0,62,0.3
23,7kmi,Ly-COV-481,C,AB,X,"1,73",X-ray,1549,0,0,47,-
24,7kmh,Ly-COV-488,C,AB,X,"1,73",X-ray,1598,0,0,35,-
25,7bwj,-,E,HL,X,"2,85",X-ray,8,3,3,26,5.14
26,7cdi,P2C-1F11,E,HL,X,"2,96",X-ray,1584,0,0,43,2.12
27,7cjf,-,C,AB,X,"2,11",X-ray,1400,0,0,34,0.1
28,7cm4,CT-P59,A,HL,X,"2,71",X-ray,115,0,0,38,0.03
29,7b3o,STE90-C11,E,HL,X,"2,00",X-ray,1516,0,0,38,1.6
30,7lm8_1,COVA1-16,A,HL,X,"1,94",X-ray,4466,686,147,27,-
31,7lm8_2,CV38-142,A,MN,X,"1,94",X-ray,23,4,4,46,27
32,7bel_1,COVOX-45,R,HL,X,"2,53",X-ray,1475,0,0,41,5.9
33,7bel_2,COVOX-88,R,AB,X,"2,53",X-ray,2359,839,838,1704,0.25
34,7or9_1,COVOX-278,E,HL,X,"2,34",X-ray,32,3,3,45,3
35,7eam,7D6,A,HL,X,"1,40",X-ray,2156,284,191,515,0.003
36,7r6x_1,S2E12,R,HL,X,"2,95",X-ray,4036,2221,576,72,1.7
37,7r6x_3,S304,R,CD,X,"2,95",X-ray,176,0,0,37,1
38,7e88,BD-515,C,AB,X,"3,14",X-ray,1615,0,0,40,-
39,7e7y,BD-623,R,AB,X,"2,41",X-ray,20,0,0,22,-
40,7m3i,CV2-75 ,C,AB,X,"2,80",X-ray,2926,877,472,36,-
41,7mmo,LY-CoV1404,C,AB,X,"2,43",X-ray,46,16,16,22,-
42,7cho,P5A-1D2,E,HL,X,"2,56",X-ray,1717,0,0,39,14
43,7bep_1,COVOX-384,E,AB,X,"2,61",X-ray,4,0,0,27,2.7
44,7bep_2,S309,E,HL,X,"2,61",X-ray,31,0,0,51,0.2
45,7lop_1,CV05-163,A,HL,X,"2,25",X-ray,23,0,0,12,45.3
46,7beo_1,COVOX-253H55L,R,AB,X,"3,19",X-ray,28,5,5,27,0.09
47,7beo_2,COVOX-75,R,HL,X,"3,19",X-ray,163,0,0,19,-
48,7r6w_1,S2X35,R,HL,X,"1,83",X-ray,2734,138,17,48,0.1
49,7m6d_1,BG4-25,C,HL,X,"3,10",X-ray,1423,0,0,32,-
50,7kzb_1,CR3014-C8,C,HL,X,"2,83",X-ray,3542,1820,382,19,61.1
51,7m7w_1,S2X259,R,HL,X,"2,65",X-ray,2726,276,81,59,-
52,7m7w_2,S2H97,R,EF,X,"2,65",X-ray,2429,598,615,844,2
53,7jx3_3,S2H14,R,CD,X,"2,65",X-ray,451,1,1,31,90
54,7jmw,COVA1-16,A,HL,X,"2,89",X-ray,4765,740,211,31,46
55,7neh,COVOX-269,E,HL,X,"1,77",X-ray,1295,0,0,43,1.59
56,7bei,COVOX-150,E,HL,X,"1,77",X-ray,1347,0,0,51,0.19
57,7chp,P5A-3C8,E,HL,X,"2,36",X-ray,1250,1,1,42,1.3
58,7ean,6D6,A,HL,X,"1,91",X-ray,2071,230,261,446,0.01
59,7djz,MW01,C,AB,X,"2,40",X-ray,9,0,0,32,-
60,7e86,BD-508,C,AB,X,"2,90",X-ray,1231,0,0,64,-
61,7chs,P22A-1D1,E,HL,X,"2,40",X-ray,1408,0,0,28,5.79
62,7beh,COVOX-316,E,HL,X,"2,30",X-ray,0,0,0,29,8.76
63,7dk0,MW05,C,AB,X,"3,20",X-ray,7,1,1,58,-
64,7bej,COVOX-158,E,HL,X,"2,42",X-ray,1382,0,0,49,3.73
65,7mf1,47D1,A,HL,X,"2,09",X-ray,0,0,0,13,2
66,7n3i,C098,C,HL,X,"2,03",X-ray,1330,0,0,16,29.05
67,7r8l_1,C099,E,HL,X,"2,60",X-ray,1237,0,0,16,0.0039
68,7e7x,N11,A,HL,O,"2,78",X-ray,0,0,0,12,-
69,7ly3,S2M28,A,CD,O,"3,00",X-ray,0,0,0,54,8.7
70,7lxw,S2X333,A,HL,O,"2,80",Cryo-EM,1,0,26,9,1.8
71,7lxx,S2L28,A,HL,O,"3,00",Cryo-EM,0,122,0,8,0.3
72,7lab,DH1052,C,HL,O,"2,97",Cryo-EM,64,55,37,56,294
73,7k43,S2M11,A,HL,X,"2,60",Cryo-EM,23,0,0,27,66
74,7m71,5A6,A,HL,X,"2,66",Cryo-EM,0,0,0,32,7.61
75,7czx,P5A-1B9,A,HL,X,"2,80",Cryo-EM,6,0,0,6,0.75
76,7m7b,3D11,A,HL,X,"2,95",Cryo-EM,2591,773,75,6,1.64
77,7l2e,4-18,A,HL,O,"2,97",Cryo-EM,1,1,0,51,6.26
78,7jv6,S2H13,A,HL,X,"3,00",Cryo-EM,3,1,1,30,148
79,7c2l,4A8,A,HL,O,"3,10",Cryo-EM,5,9,0,66,92.7
80,7mkm,SARS2-38,A,HL,X,"3,16",Cryo-EM,21,0,0,21,6.5
81,7e8c_3,N9,A,HL,O,"3,16",Cryo-EM,0,0,0,22,-
82,7cwn_1,P17,B,KI,X,"3,20",Cryo-EM,9,0,0,62,0.1
83,7cwn_2,H014,B,DE,X,"3,20",Cryo-EM,2060,516,68,10,-
